--step-length 0.1 --lateral-resolution 0.8 -c /home/levente/Egyetem/7_felev/szakdoga/BAH/BAH0_smart.sumocfg --collision.action=warn --duration-log.statisticsRR.txt
Loading configuration... done.
Loading net-file from '/home/levente/Egyetem/7_felev/szakdoga/BAH/BAH0_smart.net.xml'... done (52ms).
Loading done.
Simulation started with time: 0.00
Step #0.00 (4ms ~= 25.00*RT, ~8750.00UPS, vehicles TOT 35 ACT 35 BUF 2)       
Step #0.10 (1ms ~= 100.00*RT, ~35000.00UPS, vehicles TOT 35 ACT 35 BUF 2)     
Step #0.20 (0ms ?*RT. ?UPS, vehicles TOT 35 ACT 35 BUF 2)                     
Step #0.30 (3ms ~= 33.33*RT, ~11666.67UPS, vehicles TOT 35 ACT 35 BUF 2)      
Step #0.40 (2ms ~= 50.00*RT, ~17500.00UPS, vehicles TOT 35 ACT 35 BUF 2)      
Step #0.50 (1ms ~= 100.00*RT, ~35000.00UPS, vehicles TOT 35 ACT 35 BUF 2)     
Step #0.60 (2ms ~= 50.00*RT, ~18500.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #0.70 (2ms ~= 50.00*RT, ~18500.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #0.80 (3ms ~= 33.33*RT, ~12333.33UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #0.90 (2ms ~= 50.00*RT, ~18500.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #1.00 (1ms ~= 100.00*RT, ~37000.00UPS, vehicles TOT 37 ACT 37 BUF 0)     
Step #1.10 (1ms ~= 100.00*RT, ~37000.00UPS, vehicles TOT 37 ACT 37 BUF 0)     
Step #1.20 (1ms ~= 100.00*RT, ~37000.00UPS, vehicles TOT 37 ACT 37 BUF 0)     
Step #1.30 (1ms ~= 100.00*RT, ~37000.00UPS, vehicles TOT 37 ACT 37 BUF 0)     
Step #1.40 (0ms ?*RT. ?UPS, vehicles TOT 37 ACT 37 BUF 0)                     
Step #1.50 (1ms ~= 100.00*RT, ~37000.00UPS, vehicles TOT 37 ACT 37 BUF 0)     
Step #1.60 (1ms ~= 100.00*RT, ~37000.00UPS, vehicles TOT 37 ACT 37 BUF 0)     
Step #1.70 (1ms ~= 100.00*RT, ~37000.00UPS, vehicles TOT 37 ACT 37 BUF 0)     
Step #1.80 (3ms ~= 33.33*RT, ~12333.33UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #1.90 (2ms ~= 50.00*RT, ~18500.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #2.00 (2ms ~= 50.00*RT, ~18500.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #2.10 (2ms ~= 50.00*RT, ~18500.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #2.20 (2ms ~= 50.00*RT, ~18500.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #2.30 (3ms ~= 33.33*RT, ~12333.33UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #2.40 (2ms ~= 50.00*RT, ~18500.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #2.50 (0ms ?*RT. ?UPS, vehicles TOT 37 ACT 37 BUF 0)                     
Step #2.60 (2ms ~= 50.00*RT, ~18500.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #2.70 (1ms ~= 100.00*RT, ~37000.00UPS, vehicles TOT 37 ACT 37 BUF 0)     
Step #2.80 (1ms ~= 100.00*RT, ~37000.00UPS, vehicles TOT 37 ACT 37 BUF 0)     
Step #2.90 (1ms ~= 100.00*RT, ~37000.00UPS, vehicles TOT 37 ACT 37 BUF 0)     
Step #3.00 (2ms ~= 50.00*RT, ~18500.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #3.10 (2ms ~= 50.00*RT, ~18500.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #3.20 (2ms ~= 50.00*RT, ~18500.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #3.30 (2ms ~= 50.00*RT, ~18500.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #3.40 (2ms ~= 50.00*RT, ~18500.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #3.50 (0ms ?*RT. ?UPS, vehicles TOT 37 ACT 37 BUF 0)                     
